politician_name,office_title,committee_name,committee_id,cmt_type,decision,reason
"Terrance T. Lewis","","Lewis for City Council District 9 2013","1344652","C","confirm","lastName ""Lewis"" in committee name, cmt_type=C (Candidate)"
"Thelma K Jeffries","Monroe County: Clear Creek Township Trustee","Friends of Annette Jeffries","1272346","C","confirm","lastName ""Jeffries"" in committee name, cmt_type=C (Candidate)"
"Tim McOsker","Council Member","Pat McOsker for City Council 2011","1339987","C","confirm","lastName ""McOsker"" in committee name, cmt_type=C (Candidate)"
"Tim McOsker","Council Member","Tim McOsker for City Council 2022","1437071","C","confirm","lastName ""McOsker"" in committee name, cmt_type=C (Candidate)"
"Tim Sandoval","Mayor","Danielle Sandoval for City Council 2022","1438309","C","confirm","lastName ""Sandoval"" in committee name, cmt_type=C (Candidate)"
"Tim Tran","Board Member","Angelenos for Safe Transportation PAC Sponsored by L.A. Taxi Cooperative Inc. and South Bay Cooperative, Inc.","1340101","G","ambiguous","lastName ""Tran"" in committee name but cmt_type=""G"" (not C)"
"Timothy Martella","","Lisa Martellaro-Palmer, Candidate for CD6, 2007","1289067","C","confirm","lastName ""Martella"" in committee name, cmt_type=C (Candidate)"
"Todd Young","U.S. Senate - Indiana","Katy Young Yaroslavsky for City Council 2022","1431870","C","confirm","lastName ""Young"" in committee name, cmt_type=C (Candidate)"
"Tony Ayala","Mayor","Friends of Olga Ayala for City Council 2017","1388584","C","confirm","lastName ""Ayala"" in committee name, cmt_type=C (Candidate)"
"Tony Vazquez","Board of Equalization Member","Isabel Vazquez for School Board 2013","1350956","C","confirm","lastName ""Vazquez"" in committee name, cmt_type=C (Candidate)"
"Vernon A Brown","Marion County: Warren Township Trustee","Chris Brown for City Council 2011","1333406","C","confirm","lastName ""Brown"" in committee name, cmt_type=C (Candidate)"
"Victor M. Gordo","Mayor","Gordon Teuber for Council 2011","1340232","C","confirm","lastName ""Gordo"" in committee name, cmt_type=C (Candidate)"
"Vikesh P. Patel","Council Member","A Patel for School Board in 2015","1370605","C","confirm","lastName ""Patel"" in committee name, cmt_type=C (Candidate)"
"Vincent Yu","Council Member","Yuval Kremer for Council 2013","1353382","C","confirm","lastName ""Yu"" in committee name, cmt_type=C (Candidate)"
"Vinh Ngo","Mayor","Lovingood for City Council 2020","1419269","C","confirm","lastName ""Ngo"" in committee name, cmt_type=C (Candidate)"
"Wanda Love","Council Member","Roye Love for LAUSD School Board","1334694","C","confirm","lastName ""Love"" in committee name, cmt_type=C (Candidate)"
"Wendy L. Wilcox","","Rob Wilcox for Controller 2022","1438727","C","confirm","lastName ""Wilcox"" in committee name, cmt_type=C (Candidate)"
"Wenling Chin","Board Member","Chin for LA Council","1257377","C","confirm","lastName ""Chin"" in committee name, cmt_type=C (Candidate)"
"Xochitl Flores","Board Member","Fred Flores for City Council 2017","1393251","C","confirm","lastName ""Flores"" in committee name, cmt_type=C (Candidate)"
"Yarma Velázquez Vargas","Board Member","Vargas for City Council 2024","1459908","C","confirm","lastName ""Vargas"" in committee name, cmt_type=C (Candidate)"
"Zeel Ahir","Council Member","Nakahiro for City Council","1265600","C","confirm","lastName ""Ahir"" in committee name, cmt_type=C (Candidate)"
