candidate_name,office,district,party,date_filed,row_index,match_status,politician_id,recommended_action
James H. Pittsford III,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-01-20,2993,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Catherine (Cathy) Smith,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-01-12,2994,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Cynthia Jan Stocker,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-01-16,2995,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
James D. Wilbur,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 3",Democratic,2026-01-22,2996,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Nan Brewer,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-02-03,2997,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Steve Brewer,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-01-14,2998,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Troy Cockrum,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-01-08,2999,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Christine E. Combs,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-01-27,3000,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Ellie Cordell,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-02-05,3001,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
"Andrea ""De"" De La Rosa",CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-02-06,3002,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Trent Deckard,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-01-09,3003,matched_existing_no_source,db4e6911-9dbb-430e-831c-08be094fd637,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
April Dawn Franklin,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-02-05,3004,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Zachary Harrison,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-02-05,3005,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
A'ame Joslin,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-02-06,3006,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Christopher Miller,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-02-06,3007,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Courtney Moser,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-02-06,3008,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Finnegan R. Nowacki,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-02-02,3009,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Marilyn P. Patterson,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-02-05,3010,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Melanie J. Payne,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-01-30,3011,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Sharon Roualet,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-01-14,3012,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Ryan Still,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-01-22,3013,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Ilana R. Stonebraker,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-02-05,3014,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Doug Uhls,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-02-04,3015,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Sue Wanzer,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-01-30,3016,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Sydney Zulich,CONVENTION DELEGATE,"Monroe County Democratic Convention Delegate, District 4",Democratic,2026-01-21,3017,matched_existing_no_source,0ed5eea3-27a1-4ed9-8f4b-409247322745,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Michelle Higgs,PRECINCT COMMITTEEMAN,"Benton 1 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-02,3666,matched_existing_no_source,2eaf01b5-2ee1-4257-b4b6-8df4b29d7f98,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Eric Schmitz,PRECINCT COMMITTEEMAN,"Benton 2 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-27,3667,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Ryan Still,PRECINCT COMMITTEEMAN,"Bloomington 02 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-22,3680,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Donald Sattler,PRECINCT COMMITTEEMAN,"Bloomington 09 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-07,3681,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Tanner Dale Branham,PRECINCT COMMITTEEMAN,"Bloomington 10 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-20,3682,matched_existing_no_source,88c1b0f1-470e-4d96-8518-306c92d12021,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Jill M. Jolliff,PRECINCT COMMITTEEMAN,"Bloomington 10 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-09,3683,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Julie L. Thomas,PRECINCT COMMITTEEMAN,"Bloomington 11 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-05,3684,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Brianne (Bri) Gregory,PRECINCT COMMITTEEMAN,"Bloomington 13 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-12,3685,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jillian Kinzie,PRECINCT COMMITTEEMAN,"Bloomington 13 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-06,3686,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Kyle Gibbons,PRECINCT COMMITTEEMAN,"Bloomington 17 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-05,3687,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Ilana R. Stonebraker,PRECINCT COMMITTEEMAN,"Bloomington 17 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-06,3688,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Sydney Zulich,PRECINCT COMMITTEEMAN,"Bloomington 19 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-21,3689,matched_existing_no_source,0ed5eea3-27a1-4ed9-8f4b-409247322745,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Barbara E. McKinney,PRECINCT COMMITTEEMAN,"Bloomington 20 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-15,3690,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Hopi Stosberg,PRECINCT COMMITTEEMAN,"Bloomington 21 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-06,3691,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Isaac Braddock Scott Chapman-Whitehead,PRECINCT COMMITTEEMAN,"Bloomington 22 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-23,3692,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Courtney Moser,PRECINCT COMMITTEEMAN,"Bloomington 24 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-06,3693,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Joann R. Calabrese,PRECINCT COMMITTEEMAN,"Clear Creek 2 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-12,3813,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Susan Luther,PRECINCT COMMITTEEMAN,"Clear Creek 2 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-30,3814,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Rachael Himsel,PRECINCT COMMITTEEMAN,"Clear Creek 3 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-05,3815,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Beth Rosenbarger,PRECINCT COMMITTEEMAN,"Perry 01 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-06,4664,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Erike Oliphant,PRECINCT COMMITTEEMAN,"Perry 02 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-05,4665,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Sue Wanzer,PRECINCT COMMITTEEMAN,"Perry 04 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-30,4667,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Ellie Cordell,PRECINCT COMMITTEEMAN,"Perry 05 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-05,4668,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jimena Holguin,PRECINCT COMMITTEEMAN,"Perry 09 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-04,4669,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jennifer Crossley,PRECINCT COMMITTEEMAN,"Perry 10 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-30,4670,matched_existing_no_source,30753c4d-e145-417f-8448-c2192e010a14,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Manuel Diaz-Campos,PRECINCT COMMITTEEMAN,"Perry 12 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-02,4671,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Carolyn Jean Craig,PRECINCT COMMITTEEMAN,"Perry 14 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-27,4672,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Regina Moore,PRECINCT COMMITTEEMAN,"Perry 15 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-30,4673,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Dinorah Sapp,PRECINCT COMMITTEEMAN,"Perry 16 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-20,4674,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Nancy Goswami,PRECINCT COMMITTEEMAN,"Perry 17 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-08,4675,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Lance Da Silva,PRECINCT COMMITTEEMAN,"Perry 18 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-06,4676,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jeremy Goodrich,PRECINCT COMMITTEEMAN,"Perry 18 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-02,4677,matched_ambiguous,,Multiple politicians match this normalized name — manually disambiguate before linking
Sarah Bauerle,PRECINCT COMMITTEEMAN,"Perry 19 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-02,4678,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Josh Montagne,PRECINCT COMMITTEEMAN,"Perry 20 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-30,4679,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Rachel Barckhaus,PRECINCT COMMITTEEMAN,"Perry 23 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-06,4680,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jody L. Madeira,PRECINCT COMMITTEEMAN,"Perry 25 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-13,4681,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jeremy Hackerd,PRECINCT COMMITTEEMAN,"Perry 26 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-02,4682,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Edward Robertson,PRECINCT COMMITTEEMAN,"Perry 26 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-29,4683,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Joe Davis,PRECINCT COMMITTEEMAN,"Perry 30 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-06,4684,matched_existing_no_source,c0c45428-53c9-473e-ba4b-dc956d1868f2,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Steve Volan,PRECINCT COMMITTEEMAN,"Perry 30 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-05,4685,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Isabella Marie Frieze,PRECINCT COMMITTEEMAN,"Perry 31 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-30,4686,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Megan (Maggie) Sullivan,PRECINCT COMMITTEEMAN,"Perry 32 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-29,4687,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Pamela J. Davidson,PRECINCT COMMITTEEMAN,"Richland 3 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-13,4821,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Ruben Marte',PRECINCT COMMITTEEMAN,"Richland 4 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-07,4824,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Ashley Pirani,PRECINCT COMMITTEEMAN,"Van Buren 1 Democratic Precinct Committeeman, Monroe County",Democratic,2026-02-02,4975,matched_existing_no_source,556a7d23-3acb-4068-a7bc-cecf5194296c,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
David G. Henry,PRECINCT COMMITTEEMAN,"Van Buren 3 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-07,4976,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Catherine (Cathy) Smith,PRECINCT COMMITTEEMAN,"Van Buren 3 Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-12,4977,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Ashlie Kehrberg,PRECINCT COMMITTEEMAN,"Washington Democratic Precinct Committeeman, Monroe County",Democratic,2026-01-23,5048,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Erin Houchin,US REPRESENTATIVE,"United States Representative, Ninth District",Republican,2026-01-13,5198,matched_existing_no_source,68568faf-1e0f-4ca2-89d9-bda625665712,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Mike Moore,STATE REPRESENTATIVE,"State Representative, District 060",Republican,2026-01-08,5329,matched_existing_no_source,c554cb1f-cfd4-40b0-b430-9535b31e347d,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
David W. Waters,STATE REPRESENTATIVE,"State Representative, District 060",Republican,2026-01-23,5330,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Dave Hall,STATE REPRESENTATIVE,"State Representative, District 062",Republican,2026-01-08,5331,matched_existing_no_source,e971c7f2-3ab2-483d-97a4-7fe919365f98,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Julie M. Hays,CLERK OF THE CIRCUIT COURT,Monroe County Circuit Court Clerk,Republican,2026-02-06,5645,matched_existing_no_source,62795f07-bf30-40bc-856e-c2475cc9fbc1,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
"Martha ""Marty"" Hawk",COUNTY COUNCIL MEMBER,"Monroe County Council, District 3",Republican,2026-02-03,6595,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Ronald H Hutson,TOWNSHIP TRUSTEE,"Bean Blossom Township Trustee, Monroe County",Republican,2026-01-29,6833,matched_existing_no_source,b407f620-d412-46b4-939a-d0967f8f80d2,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Steven A. Hinds,TOWNSHIP TRUSTEE,"Clear Creek Township Trustee, Monroe County",Republican,2026-01-20,6945,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Thelma Kelley Jeffries,TOWNSHIP TRUSTEE,"Clear Creek Township Trustee, Monroe County",Republican,2026-01-21,6946,matched_existing_no_source,4140bab7-459d-4735-a2ca-f319377db452,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Thomas Ty Mungle,TOWNSHIP TRUSTEE,"Clear Creek Township Trustee, Monroe County",Republican,2026-01-09,6947,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Christopher Reynolds,TOWNSHIP TRUSTEE,"Indian Creek Township Trustee, Monroe County",Republican,2026-01-23,7126,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Scott Smith,TOWNSHIP TRUSTEE,"Polk Township Trustee, Monroe County",Republican,2026-01-16,7416,matched_existing_no_source,f5cce37f-425b-4494-acad-38bdf6136ba6,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Dawn M. Durnil,TOWNSHIP TRUSTEE,"Richland Township Trustee, Monroe County",Republican,2026-01-07,7450,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Rita Barrow,TOWNSHIP TRUSTEE,"Van Buren Township Trustee, Monroe County",Republican,2026-01-09,7581,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Mary VanDeventer,TOWNSHIP TRUSTEE,"Washington Township Trustee, Monroe County",Republican,2026-02-03,7623,matched_existing_no_source,be355b0e-79a9-4af2-9926-d5bee7ae2515,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Dustin Cole Dillard,TOWNSHIP BOARD MEMBER,"Clear Creek Township Board Member, Monroe County",Republican,2026-01-12,8017,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
R. Shannon Reed,TOWNSHIP BOARD MEMBER,"Clear Creek Township Board Member, Monroe County",Republican,2026-01-30,8018,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Paul Strain,TOWNSHIP BOARD MEMBER,"Clear Creek Township Board Member, Monroe County",Republican,2026-01-14,8019,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Steven E. Webb (Steve),TOWNSHIP BOARD MEMBER,"Clear Creek Township Board Member, Monroe County",Republican,2026-02-04,8020,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Katrina W. Ladwig,TOWNSHIP BOARD MEMBER,"Indian Creek Township Board Member, Monroe County",Republican,2026-01-21,8454,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Wendi Reynolds,TOWNSHIP BOARD MEMBER,"Indian Creek Township Board Member, Monroe County",Republican,2026-01-23,8455,matched_existing_no_source,d5c43411-143e-4a1c-a5d4-4ea346f638b5,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Roger L. Taylor,TOWNSHIP BOARD MEMBER,"Indian Creek Township Board Member, Monroe County",Republican,2026-01-28,8456,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Traves Conyer,TOWNSHIP BOARD MEMBER,"Richland Township Board Member, Monroe County",Republican,2026-01-14,9241,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Elaine Thomsen,TOWNSHIP BOARD MEMBER,"Richland Township Board Member, Monroe County",Republican,2026-01-12,9242,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jay M. Thrasher,TOWNSHIP BOARD MEMBER,"Richland Township Board Member, Monroe County",Republican,2026-01-15,9243,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
David Willibey,TOWNSHIP BOARD MEMBER,"Richland Township Board Member, Monroe County",Republican,2026-01-14,9244,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Theresa Oatman,TOWNSHIP BOARD MEMBER,"Van Buren Township Board Member, Monroe County",Republican,2026-01-16,9561,matched_existing_no_source,3a65723a-7531-4712-8a7f-e4233a5aadfb,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
John Wilson,TOWNSHIP BOARD MEMBER,"Van Buren Township Board Member, Monroe County",Republican,2026-01-09,9562,matched_existing_no_source,1c0afd7e-f476-4784-920f-f328a5c5d348,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Jerry Ayers,TOWNSHIP BOARD MEMBER,"Washington Township Board Member, Monroe County",Republican,2026-01-22,9681,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Kenny L. Bryant,TOWNSHIP BOARD MEMBER,"Washington Township Board Member, Monroe County",Republican,2026-01-29,9682,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Andy Spriggs,TOWNSHIP BOARD MEMBER,"Washington Township Board Member, Monroe County",Republican,2026-02-02,9683,matched_existing_no_source,15c77faa-dfb6-485e-8b83-4611727d1eb3,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
John M. Arnold,CONVENTION DELEGATE,Monroe County Republican Convention Delegate At-Large,Republican,2026-01-27,11681,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Noelle Conyer,CONVENTION DELEGATE,Monroe County Republican Convention Delegate At-Large,Republican,2026-01-07,11682,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
William Ellis,CONVENTION DELEGATE,Monroe County Republican Convention Delegate At-Large,Republican,2026-01-07,11683,matched_existing_no_source,039e82de-035e-4dd3-a700-fe1959e9b447,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Cory Grass,CONVENTION DELEGATE,Monroe County Republican Convention Delegate At-Large,Republican,2026-02-06,11684,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
John W. Kirtland,CONVENTION DELEGATE,Monroe County Republican Convention Delegate At-Large,Republican,2026-01-22,11685,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Sheryl L. Langdon,CONVENTION DELEGATE,Monroe County Republican Convention Delegate At-Large,Republican,2026-01-20,11686,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Tracy J. Young,CONVENTION DELEGATE,Monroe County Republican Convention Delegate At-Large,Republican,2026-02-03,11687,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Julie M Hays,CONVENTION DELEGATE,"Monroe County Republican Convention Delegate, District 1",Republican,2026-01-29,11688,matched_existing_no_source,62795f07-bf30-40bc-856e-c2475cc9fbc1,Politician exists; needs Indiana/FEC/Cal-Access source seeding (see quick-009 + Indiana confirm-indiana.ts)
Joyce B. Poling,CONVENTION DELEGATE,"Monroe County Republican Convention Delegate, District 1",Republican,2026-02-03,11689,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Scott Tibbs,CONVENTION DELEGATE,"Monroe County Republican Convention Delegate, District 1",Republican,2026-01-08,11690,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Sean Ray,CONVENTION DELEGATE,"Monroe County Republican Convention Delegate, District 2",Republican,2026-02-03,11691,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jack L. Schmit,CONVENTION DELEGATE,"Monroe County Republican Convention Delegate, District 2",Republican,2026-01-20,11692,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Danny K. Shields,CONVENTION DELEGATE,"Monroe County Republican Convention Delegate, District 2",Republican,2026-01-08,11693,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Kathy S. Shields,CONVENTION DELEGATE,"Monroe County Republican Convention Delegate, District 2",Republican,2026-01-08,11694,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Donald T. Smith,CONVENTION DELEGATE,"Monroe County Republican Convention Delegate, District 2",Republican,2026-01-20,11695,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Jerry W. Ayers,CONVENTION DELEGATE,"Monroe County Republican Convention Delegate, District 3",Republican,2026-01-20,11696,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Dustin Cole Dillard,CONVENTION DELEGATE,"Monroe County Republican Convention Delegate, District 3",Republican,2026-01-12,11697,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Leigh Ann Dillard,CONVENTION DELEGATE,"Monroe County Republican Convention Delegate, District 3",Republican,2026-01-12,11698,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Steven A. Hinds,CONVENTION DELEGATE,"Monroe County Republican Convention Delegate, District 3",Republican,2026-01-21,11699,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
Ray Leonard,CONVENTION DELEGATE,"Monroe County Republican Convention Delegate, District 3",Republican,2026-02-03,11700,unmatched,,New candidate not in DB — review and re-run with --commit --insert-unmatched if confirmed
