class,proposed_action,name,district,agent_class,confidence,years,evidence_url,evidence_quote,searched,note,id
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Rosemarie Lopez,El Monte City School District,NO_EVIDENCE,high,,,,"(1) current board page https://www.emcsd.org/apps/pages/index.jsp?uREC_ID=1566382&type=d&pREC_ID=2631375 and Diligent portal officer list; (2) Wayback board pages 2003, 2012, 2020, 2022, 2023, 2024; (3) full-text grep of all 135 BoardDocs minutes 2016-04-19..2024-11-18 (https://go.boarddocs.com/ca/emcsd/Board.nsf/Public); (4) RR/CC candidate lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html); (5) bing.sh returned degraded results (matches only the first word of the query, e.g. 'Yvette' clothing / 'Ana' airline) and bs.sh (Brave) returned a captcha; DDG/Mojeek/Startpage/searx also blocked - no usable web-search results; WebSearch tool not used",No hit anywhere.,40b52e27-5ad5-48af-93dd-5d8a625746f6
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Yvette Jimenez,El Monte City School District,NO_EVIDENCE,high,,,,"(1) current board page https://www.emcsd.org/apps/pages/index.jsp?uREC_ID=1566382&type=d&pREC_ID=2631375 and Diligent portal officer list; (2) Wayback board pages 2003, 2012, 2020, 2022, 2023, 2024; (3) full-text grep of all 135 BoardDocs minutes 2016-04-19..2024-11-18 (https://go.boarddocs.com/ca/emcsd/Board.nsf/Public); (4) RR/CC candidate lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html); (5) bing.sh returned degraded results (matches only the first word of the query, e.g. 'Yvette' clothing / 'Ana' airline) and bs.sh (Brave) returned a captcha; DDG/Mojeek/Startpage/searx also blocked - no usable web-search results; WebSearch tool not used",Only 'Yvette' hits in minutes are teacher Yvette Hall and CSBA staffer Yvette Kim.,b27b616c-88d6-4288-afd3-80d7e60ba46b
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Emma Turner,El Monte Union High School District,NO_EVIDENCE,medium,,,,"(1) current page https://www.emuhsd.org/meet-the-board; (2) Wayback board pages 2011, 2014, 2016 (index.php/board_agenda/meet_the_board), 2018, 2021, 2023, 2024, 2025 (/domain/18), 2025-10 and 2026-04 (/meet-the-board); (3) RR/CC candidate lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html); (4) bing.sh returned degraded results (matches only the first word of the query, e.g. 'Yvette' clothing / 'Ana' airline) and bs.sh (Brave) returned a captcha; DDG/Mojeek/Startpage/searx also blocked - no usable web-search results; WebSearch tool not used. Board minutes (Diligent portal) not searched: JS-only.",No hit anywhere.,6fab21ef-c66e-4fff-afb6-93e1ec7c5c2f
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Ingrid González,El Monte Union High School District,NO_EVIDENCE,medium,,,,"(1) current page https://www.emuhsd.org/meet-the-board; (2) Wayback board pages 2011, 2014, 2016 (index.php/board_agenda/meet_the_board), 2018, 2021, 2023, 2024, 2025 (/domain/18), 2025-10 and 2026-04 (/meet-the-board); (3) RR/CC candidate lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html); (4) bing.sh returned degraded results (matches only the first word of the query, e.g. 'Yvette' clothing / 'Ana' airline) and bs.sh (Brave) returned a captcha; DDG/Mojeek/Startpage/searx also blocked - no usable web-search results; WebSearch tool not used. Board minutes (Diligent portal) not searched: JS-only.",Not on any roster 2011-2026. (Real 2014-2016 trustee was Juanita M. Gonzales - different first name.),c97d6025-84bf-44be-aa50-90fbe1029b4c
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Jose Lara,El Monte Union High School District,NO_EVIDENCE,medium,,,,"(1) current page https://www.emuhsd.org/meet-the-board; (2) Wayback board pages 2011, 2014, 2016 (index.php/board_agenda/meet_the_board), 2018, 2021, 2023, 2024, 2025 (/domain/18), 2025-10 and 2026-04 (/meet-the-board); (3) RR/CC candidate lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html); (4) bing.sh returned degraded results (matches only the first word of the query, e.g. 'Yvette' clothing / 'Ana' airline) and bs.sh (Brave) returned a captcha; DDG/Mojeek/Startpage/searx also blocked - no usable web-search results; WebSearch tool not used. Board minutes (Diligent portal) not searched: JS-only.","Namesake: RR/CC 3861 (2018-11) 'JOSE LARA | Teacher/Parent/Boardmember | ... PICO RIVERA' filed as incumbent [E] for EL RANCHO UNIFIED SCHOOL DISTRICT (a different district, ~10 mi away). Name-only match; not treated as disproof. Never on an EMUHSD roster.",6485f5ef-6df0-48b7-8f66-8e7a53693435
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Maria Elena Martinez,El Monte Union High School District,NO_EVIDENCE,medium,,,,"(1) current page https://www.emuhsd.org/meet-the-board; (2) Wayback board pages 2011, 2014, 2016 (index.php/board_agenda/meet_the_board), 2018, 2021, 2023, 2024, 2025 (/domain/18), 2025-10 and 2026-04 (/meet-the-board); (3) RR/CC candidate lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html); (4) bing.sh returned degraded results (matches only the first word of the query, e.g. 'Yvette' clothing / 'Ana' airline) and bs.sh (Brave) returned a captcha; DDG/Mojeek/Startpage/searx also blocked - no usable web-search results; WebSearch tool not used. Board minutes (Diligent portal) not searched: JS-only.","Closest real name is Maria-Elena Talamantes (EMUHSD trustee, appointed April 2012, elected Nov 2013, on board through at least 2016) - different surname, so not a match.",1eb2e102-323a-4852-8366-ba68681d361c
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Xochitl Flores,El Monte Union High School District,NO_EVIDENCE,medium,,,,"(1) current page https://www.emuhsd.org/meet-the-board; (2) Wayback board pages 2011, 2014, 2016 (index.php/board_agenda/meet_the_board), 2018, 2021, 2023, 2024, 2025 (/domain/18), 2025-10 and 2026-04 (/meet-the-board); (3) RR/CC candidate lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html); (4) bing.sh returned degraded results (matches only the first word of the query, e.g. 'Yvette' clothing / 'Ana' airline) and bs.sh (Brave) returned a captcha; DDG/Mojeek/Startpage/searx also blocked - no usable web-search results; WebSearch tool not used. Board minutes (Diligent portal) not searched: JS-only.",No hit anywhere.,9ce4fa5c-4884-45aa-bd8e-b0fd7257c6ee
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Jonathan Contreras,Garvey School District,NO_EVIDENCE,high,,,,"(1) current page https://www.garvey.k12.ca.us/board-members; (2) all 337 minutes PDFs listed on /board-minutes-archive and /board-minutes (2010-2026; scanned ones OCR'd, first 2 pages = roll call and opening items) grepped for each name; (3) RR/CC candidate lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html); (4) bing.sh returned degraded results (matches only the first word of the query, e.g. 'Yvette' clothing / 'Ana' airline) and bs.sh (Brave) returned a captcha; DDG/Mojeek/Startpage/searx also blocked - no usable web-search results; WebSearch tool not used",Only 'Contreras' hit: employee Roxanne Contreras (2012 personnel lists).,416b3a99-371f-4125-95d5-ee693877d76d
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Kimberly Martinez,Garvey School District,NO_EVIDENCE,high,,,,"(1) current page https://www.garvey.k12.ca.us/board-members; (2) all 337 minutes PDFs listed on /board-minutes-archive and /board-minutes (2010-2026; scanned ones OCR'd, first 2 pages = roll call and opening items) grepped for each name; (3) RR/CC candidate lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html); (4) bing.sh returned degraded results (matches only the first word of the query, e.g. 'Yvette' clothing / 'Ana' airline) and bs.sh (Brave) returned a captcha; DDG/Mojeek/Startpage/searx also blocked - no usable web-search results; WebSearch tool not used",No hit in 2010-2026 minutes.,5f6d627f-0916-4b20-9d70-58923c8e344e
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Maggie Cheung-Lim,Garvey School District,NO_EVIDENCE,high,,,,"(1) current page https://www.garvey.k12.ca.us/board-members; (2) all 337 minutes PDFs listed on /board-minutes-archive and /board-minutes (2010-2026; scanned ones OCR'd, first 2 pages = roll call and opening items) grepped for each name; (3) RR/CC candidate lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html); (4) bing.sh returned degraded results (matches only the first word of the query, e.g. 'Yvette' clothing / 'Ana' airline) and bs.sh (Brave) returned a captcha; DDG/Mojeek/Startpage/searx also blocked - no usable web-search results; WebSearch tool not used",Only near-hits: 'Dr. C. P. Cheung' (Temple Intermediate principal) and 'Ms. Maggie Clark' (Rosemead council member). Unrelated.,c4e6fe44-6eff-4674-b8b4-185de72a4d39
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Teresa Srisiri,Garvey School District,NO_EVIDENCE,high,,,,"(1) current page https://www.garvey.k12.ca.us/board-members; (2) all 337 minutes PDFs listed on /board-minutes-archive and /board-minutes (2010-2026; scanned ones OCR'd, first 2 pages = roll call and opening items) grepped for each name; (3) RR/CC candidate lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html); (4) bing.sh returned degraded results (matches only the first word of the query, e.g. 'Yvette' clothing / 'Ana' airline) and bs.sh (Brave) returned a captcha; DDG/Mojeek/Startpage/searx also blocked - no usable web-search results; WebSearch tool not used",No hit.,47e3c1cf-c57e-49b6-92e7-e98fd642623e
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Tina Lim,Garvey School District,NO_EVIDENCE,high,,,,"(1) current page https://www.garvey.k12.ca.us/board-members; (2) all 337 minutes PDFs listed on /board-minutes-archive and /board-minutes (2010-2026; scanned ones OCR'd, first 2 pages = roll call and opening items) grepped for each name; (3) RR/CC candidate lists 2017-2026 (all LA County contests in scratchpad rrcc/*.html); (4) bing.sh returned degraded results (matches only the first word of the query, e.g. 'Yvette' clothing / 'Ana' airline) and bs.sh (Brave) returned a captcha; DDG/Mojeek/Startpage/searx also blocked - no usable web-search results; WebSearch tool not used",No hit.,5cbff79d-99e2-4054-be57-07049ca1e3cf
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Anna Wren,Gorman Joint School District,NO_EVIDENCE,medium,,,,"(1) current board page (gormanschool.com School Board); (2) district agenda/minutes archive on the board page, 2014-2026 (~200 PDFs); rosters read (OCR where scanned) for 2014, 2017, 2018, 2019, 2021, 2022, 2024, 2025 (Jun/Oct/Dec), 2026 (Jan-Jun). Wayback CDX for gormanschool.com returned no board-page captures; (3) AV Press site search for the exact name (no hits). General web search was not usable this session: Bing returned first-word-only junk, Brave/DuckDuckGo/Mojeek/Startpage returned captchas, WebSearch quota (3) spent on appointment dates. Used instead: AV Press site search (avpress.com/search), Ballotpedia, all LA RR/CC school-board candidate lists 2017-2026 (rrcc_school.json, 1726 rows, no match).","Absent from every Gorman roll call 2014-2026 in the district's own agenda/minutes archive and from RR/CC 2017-2026. The archive is near-complete but is not a published all-time trustee list, so not DISPROVED.",5562b788-c13f-4f4d-87c4-521e271059e9
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Crystal Sherrill,Gorman Joint School District,NO_EVIDENCE,medium,,,,"(1) current board page (gormanschool.com School Board); (2) district agenda/minutes archive on the board page, 2014-2026 (~200 PDFs); rosters read (OCR where scanned) for 2014, 2017, 2018, 2019, 2021, 2022, 2024, 2025 (Jun/Oct/Dec), 2026 (Jan-Jun). Wayback CDX for gormanschool.com returned no board-page captures; (3) AV Press site search for the exact name (no hits). General web search was not usable this session: Bing returned first-word-only junk, Brave/DuckDuckGo/Mojeek/Startpage returned captchas, WebSearch quota (3) spent on appointment dates. Used instead: AV Press site search (avpress.com/search), Ballotpedia, all LA RR/CC school-board candidate lists 2017-2026 (rrcc_school.json, 1726 rows, no match).","Absent from every Gorman roll call 2014-2026 in the district's own agenda/minutes archive and from RR/CC 2017-2026. The archive is near-complete but is not a published all-time trustee list, so not DISPROVED.",26ae5f79-9ec5-4b3f-8b9e-dc2caaa71101
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Sharon Caughey,Gorman Joint School District,NO_EVIDENCE,medium,,,,"(1) current board page (gormanschool.com School Board); (2) district agenda/minutes archive on the board page, 2014-2026 (~200 PDFs); rosters read (OCR where scanned) for 2014, 2017, 2018, 2019, 2021, 2022, 2024, 2025 (Jun/Oct/Dec), 2026 (Jan-Jun). Wayback CDX for gormanschool.com returned no board-page captures; (3) AV Press site search for the exact name (no hits). General web search was not usable this session: Bing returned first-word-only junk, Brave/DuckDuckGo/Mojeek/Startpage returned captchas, WebSearch quota (3) spent on appointment dates. Used instead: AV Press site search (avpress.com/search), Ballotpedia, all LA RR/CC school-board candidate lists 2017-2026 (rrcc_school.json, 1726 rows, no match).","Absent from every Gorman roll call 2014-2026 in the district's own agenda/minutes archive and from RR/CC 2017-2026. The archive is near-complete but is not a published all-time trustee list, so not DISPROVED.",03d9147a-4402-474a-ac7e-8e70022f58dd
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Antonio Castro,Hawthorne School District,NO_EVIDENCE,high,,https://www.mpacorn.com/antonio-a-castro/,"ANTONIO A. CASTRO - Moorpark Acorn ... President/CEO, Ruben Castro Charities ... Facebook: facebook.com/Castro-for-Council-2020","current board page; Wayback rosters 2002/2007/2009/2011/2014/2017/2018/2021/2022/2023 (see roster_history); RR/CC lists 2017-2026 (name absent everywhere); bing.sh degraded (returns results for first word only, e.g. 'Arturo' restaurants); brave.sh CAPTCHA-blocked; DDG-lite worked for 2 queries then 403/406/CAPTCHA; WebSearch quota (3) spent on Lennox vacancy, SSSD names, Lawndale names; DB row photo_origin_url (read-only query) = https://www.mpacorn.com/antonio-a-castro/","The DB headshot belongs to a 2020 Moorpark (Ventura County) city council candidate. That is a name-only match to an unrelated person in another county, so it is not proof of another office here, but the photo is wrong and must go with the row.",74257677-b02b-42db-835d-467b01112b3f
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,James Moore,Hawthorne School District,NO_EVIDENCE,high,,,,"current board page; Wayback rosters 2002/2007/2009/2011/2014/2017/2018/2021/2022/2023 (see roster_history); RR/CC lists 2017-2026 (name absent everywhere); bing.sh degraded (returns results for first word only, e.g. 'Arturo' restaurants); brave.sh CAPTCHA-blocked; DDG-lite worked for 2 queries then 403/406/CAPTCHA; WebSearch quota (3) spent on Lennox vacancy, SSSD names, Lawndale names",Dense roster coverage 2002-2026 never shows this name.,ab063dea-0ed6-450e-9a19-eb3a6a6e5da9
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Lisa Williams,Hawthorne School District,NO_EVIDENCE,high,,,,"current board page; Wayback rosters 2002/2007/2009/2011/2014/2017/2018/2021/2022/2023 (see roster_history); RR/CC lists 2017-2026 (name absent everywhere); bing.sh degraded (returns results for first word only, e.g. 'Arturo' restaurants); brave.sh CAPTCHA-blocked; DDG-lite worked for 2 queries then 403/406/CAPTCHA; WebSearch quota (3) spent on Lennox vacancy, SSSD names, Lawndale names",Dense roster coverage 2002-2026 never shows this name.,201e0365-8301-40f7-83bb-2292445fcb78
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Maria Felix,Hawthorne School District,NO_EVIDENCE,high,,,,"current board page; Wayback rosters 2002/2007/2009/2011/2014/2017/2018/2021/2022/2023 (see roster_history); RR/CC lists 2017-2026 (name absent everywhere); bing.sh degraded (returns results for first word only, e.g. 'Arturo' restaurants); brave.sh CAPTCHA-blocked; DDG-lite worked for 2 queries then 403/406/CAPTCHA; WebSearch quota (3) spent on Lennox vacancy, SSSD names, Lawndale names",Dense roster coverage 2002-2026 never shows this name.,d3a9f508-ebc5-4a7b-ba1a-8dc71827d720
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Sarah Garcia,Hawthorne School District,NO_EVIDENCE,high,,,,"current board page; Wayback rosters 2002/2007/2009/2011/2014/2017/2018/2021/2022/2023 (see roster_history); RR/CC lists 2017-2026 (name absent everywhere); bing.sh degraded (returns results for first word only, e.g. 'Arturo' restaurants); brave.sh CAPTCHA-blocked; DDG-lite worked for 2 queries then 403/406/CAPTCHA; WebSearch quota (3) spent on Lennox vacancy, SSSD names, Lawndale names",Dense roster coverage 2002-2026 never shows this name.,ec31be2a-2151-48d8-9d40-3cf767836874
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Jeffrey Reinhart,Hermosa Beach City School District,NO_EVIDENCE,medium,,,,"current board page; Wayback rosters 2009/2011/2022/2023/2024/2026 (2012-2020 hbcsd.org captures are all 403, not readable); RR/CC lists 2017-2026 (name absent); hermosabeach.gov council/departments/commissions pages (absent); Ballotpedia HBCSD pages; bing.sh degraded (returns results for first word only, e.g. 'Arturo' restaurants); brave.sh CAPTCHA-blocked; DDG-lite worked for 2 queries then 403/406/CAPTCHA; WebSearch quota (3) spent on Lennox vacancy, SSSD names, Lawndale names","2012-2020 rosters unreadable, so a service in that window cannot be ruled out.",c5a12549-9b81-4013-b747-bbc7a4fca3f3
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Joanna Ruelas,Hermosa Beach City School District,NO_EVIDENCE,medium,,,,"current board page; Wayback rosters 2009/2011/2022/2023/2024/2026 (2012-2020 hbcsd.org captures are all 403, not readable); RR/CC lists 2017-2026 (name absent); hermosabeach.gov council/departments/commissions pages (absent); Ballotpedia HBCSD pages; bing.sh degraded (returns results for first word only, e.g. 'Arturo' restaurants); brave.sh CAPTCHA-blocked; DDG-lite worked for 2 queries then 403/406/CAPTCHA; WebSearch quota (3) spent on Lennox vacancy, SSSD names, Lawndale names",2012-2020 rosters unreadable.,6804f05a-f30b-425f-a4e8-5919f510b024
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Kellie Kennedy,Hermosa Beach City School District,NO_EVIDENCE,medium,,,,"current board page; Wayback rosters 2009/2011/2022/2023/2024/2026 (2012-2020 hbcsd.org captures are all 403, not readable); RR/CC lists 2017-2026 (name absent); hermosabeach.gov council/departments/commissions pages (absent); Ballotpedia HBCSD pages; bing.sh degraded (returns results for first word only, e.g. 'Arturo' restaurants); brave.sh CAPTCHA-blocked; DDG-lite worked for 2 queries then 403/406/CAPTCHA; WebSearch quota (3) spent on Lennox vacancy, SSSD names, Lawndale names",2012-2020 rosters unreadable.,f712f1e9-2b98-44d8-b552-917b034241c6
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Lea Liwanag,Hermosa Beach City School District,NO_EVIDENCE,medium,,,,"current board page; Wayback rosters 2009/2011/2022/2023/2024/2026 (2012-2020 hbcsd.org captures are all 403, not readable); RR/CC lists 2017-2026 (name absent); hermosabeach.gov council/departments/commissions pages (absent); Ballotpedia HBCSD pages; bing.sh degraded (returns results for first word only, e.g. 'Arturo' restaurants); brave.sh CAPTCHA-blocked; DDG-lite worked for 2 queries then 403/406/CAPTCHA; WebSearch quota (3) spent on Lennox vacancy, SSSD names, Lawndale names",2012-2020 rosters unreadable.,3e2c9417-79c0-4666-bff1-85b9b8237631
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Dawn Snyder,Hughes-Elizabeth Lakes Union School District,NO_EVIDENCE,medium,,,,"(1) current board page https://helus.org/board-member-terms (live, 'Updated 1-12-2026'); (2) Wayback rosters 2008, 2012, 2015 (heluesd.org), 2020, 2022, 2023, 2024, 2025 (x2), 2026 (helus.org); district staff/news pages; (3) AV Press site search for the exact name (no hits). General web search was not usable this session: Bing returned first-word-only junk, Brave/DuckDuckGo/Mojeek/Startpage returned captchas, WebSearch quota (3) spent on appointment dates. Used instead: AV Press site search (avpress.com/search), Ballotpedia, all LA RR/CC school-board candidate lists 2017-2026 (rrcc_school.json, 1726 rows, no match).",Absent from all HELUSD rosters 2008-2026 and RR/CC 2017-2026.,288499db-64df-4c1f-ada4-9b94af531a34
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Jeremy Williams,Hughes-Elizabeth Lakes Union School District,NO_EVIDENCE,medium,,,,"(1) current board page https://helus.org/board-member-terms (live, 'Updated 1-12-2026'); (2) Wayback rosters 2008, 2012, 2015 (heluesd.org), 2020, 2022, 2023, 2024, 2025 (x2), 2026 (helus.org); district staff/news pages; (3) AV Press site search for the exact name (no hits). General web search was not usable this session: Bing returned first-word-only junk, Brave/DuckDuckGo/Mojeek/Startpage returned captchas, WebSearch quota (3) spent on appointment dates. Used instead: AV Press site search (avpress.com/search), Ballotpedia, all LA RR/CC school-board candidate lists 2017-2026 (rrcc_school.json, 1726 rows, no match).",Absent from all HELUSD rosters 2008-2026 and RR/CC 2017-2026. Common name; no local match found.,d3eebfad-b395-4180-8562-941dbb8cecb0
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Dolores Santiago,Keppel Union School District,NO_EVIDENCE,medium,,,,"(1) current board page (Wayback 2026-04-16; live page is an Apptegy JS challenge); (2) Wayback rosters 2008, 2012, 2015, 2017, 2018, 2021, 2023, 2025, 2026; also the csbaagendaonline.net/keppel header (Smith, Pomeroy, Gaines, Halliman, R. M. Dutton) and agendaonline.net header 2021-22 (Cullors, Halliman, Ballante, McCafferty, J. Dutton); (3) AV Press site search for the exact name. General web search was not usable this session: Bing returned first-word-only junk, Brave/DuckDuckGo/Mojeek/Startpage returned captchas, WebSearch quota (3) spent on appointment dates. Used instead: AV Press site search (avpress.com/search), Ballotpedia, all LA RR/CC school-board candidate lists 2017-2026 (rrcc_school.json, 1726 rows, no match).",Name absent from every Keppel roster 2008-2026 and from all LA RR/CC school candidate lists 2017-2026. Almost certainly a seeding artifact.,2a954d75-5a34-4753-b508-be66799bc760
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Eloisa Lopez,Keppel Union School District,NO_EVIDENCE,medium,,,,"(1) current board page (Wayback 2026-04-16; live page is an Apptegy JS challenge); (2) Wayback rosters 2008, 2012, 2015, 2017, 2018, 2021, 2023, 2025, 2026; also the csbaagendaonline.net/keppel header (Smith, Pomeroy, Gaines, Halliman, R. M. Dutton) and agendaonline.net header 2021-22 (Cullors, Halliman, Ballante, McCafferty, J. Dutton); (3) AV Press site search for the exact name. General web search was not usable this session: Bing returned first-word-only junk, Brave/DuckDuckGo/Mojeek/Startpage returned captchas, WebSearch quota (3) spent on appointment dates. Used instead: AV Press site search (avpress.com/search), Ballotpedia, all LA RR/CC school-board candidate lists 2017-2026 (rrcc_school.json, 1726 rows, no match).",Name absent from every Keppel roster 2008-2026 and from all LA RR/CC school candidate lists 2017-2026. Almost certainly a seeding artifact.,4352b2da-86fd-4435-a0f0-247972d34f38
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Jose Garcia,Keppel Union School District,NO_EVIDENCE,medium,,,,"(1) current board page (Wayback 2026-04-16; live page is an Apptegy JS challenge); (2) Wayback rosters 2008, 2012, 2015, 2017, 2018, 2021, 2023, 2025, 2026; also the csbaagendaonline.net/keppel header (Smith, Pomeroy, Gaines, Halliman, R. M. Dutton) and agendaonline.net header 2021-22 (Cullors, Halliman, Ballante, McCafferty, J. Dutton); (3) AV Press site search for the exact name. General web search was not usable this session: Bing returned first-word-only junk, Brave/DuckDuckGo/Mojeek/Startpage returned captchas, WebSearch quota (3) spent on appointment dates. Used instead: AV Press site search (avpress.com/search), Ballotpedia, all LA RR/CC school-board candidate lists 2017-2026 (rrcc_school.json, 1726 rows, no match).",Name absent from every Keppel roster 2008-2026 and from all LA RR/CC school candidate lists 2017-2026. Almost certainly a seeding artifact.,87b39a44-75b3-4395-a4a3-974b288c6047
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Mark Brown,Keppel Union School District,NO_EVIDENCE,medium,,,,"(1) current board page (Wayback 2026-04-16; live page is an Apptegy JS challenge); (2) Wayback rosters 2008, 2012, 2015, 2017, 2018, 2021, 2023, 2025, 2026; also the csbaagendaonline.net/keppel header (Smith, Pomeroy, Gaines, Halliman, R. M. Dutton) and agendaonline.net header 2021-22 (Cullors, Halliman, Ballante, McCafferty, J. Dutton); (3) AV Press site search for the exact name. General web search was not usable this session: Bing returned first-word-only junk, Brave/DuckDuckGo/Mojeek/Startpage returned captchas, WebSearch quota (3) spent on appointment dates. Used instead: AV Press site search (avpress.com/search), Ballotpedia, all LA RR/CC school-board candidate lists 2017-2026 (rrcc_school.json, 1726 rows, no match).",Name absent from every Keppel roster 2008-2026 and from all LA RR/CC school candidate lists 2017-2026. Almost certainly a seeding artifact. AV Press hits for 'Mark Brown' are a bishop press release and unrelated sports items; 'Jose Garcia' hits are unrelated sports/deputy items (common names).,8f32c725-c14c-493a-a1c8-1f03fbd7f5ad
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Sandy Santos,Keppel Union School District,NO_EVIDENCE,medium,,,,"(1) current board page (Wayback 2026-04-16; live page is an Apptegy JS challenge); (2) Wayback rosters 2008, 2012, 2015, 2017, 2018, 2021, 2023, 2025, 2026; also the csbaagendaonline.net/keppel header (Smith, Pomeroy, Gaines, Halliman, R. M. Dutton) and agendaonline.net header 2021-22 (Cullors, Halliman, Ballante, McCafferty, J. Dutton); (3) AV Press site search for the exact name. General web search was not usable this session: Bing returned first-word-only junk, Brave/DuckDuckGo/Mojeek/Startpage returned captchas, WebSearch quota (3) spent on appointment dates. Used instead: AV Press site search (avpress.com/search), Ballotpedia, all LA RR/CC school-board candidate lists 2017-2026 (rrcc_school.json, 1726 rows, no match).",Name absent from every Keppel roster 2008-2026 and from all LA RR/CC school candidate lists 2017-2026. Almost certainly a seeding artifact.,7b02ad38-18b8-42c1-bc8a-cc94509a1252
"B NO EVIDENCE - deactivate, keep closed term tagged unverified",deactivate; clear party; tag term unverified,Guadalupe Romero,Lancaster School District,NO_EVIDENCE,medium,,,,"(1) current Meet-the-Board page lancsd.org: absent; (2) Wayback lancsd.org/domain/69 2016-07, 2020-04, 2023-03, 2024-03, 2025-01: absent (older Edlio board page 2011-2013 not archived); (3) RR/CC Lancaster SD lists 2017-2026 and county-wide school JSON: no match (only ALMA-DELIA/MARIELA RENTERIA of Lynwood USD, unrelated); AV Press quoted-name search: 0 hits; Google News RSS: 0 relevant hits; Ballotpedia Lancaster SD elections page (2015-2026): absent; WebSearch combined query: nothing. bing.sh and bs.sh (Brave) were unusable this session: Bing returned unrelated results for every query (it ignored the quoted terms), Brave returned a captcha. Used instead: AV Press site search (avpress.com/search, quoted name, archive about 2015-2026), Google News RSS, Ballotpedia district election pages, and the county-wide RR/CC school-board candidate JSON (rrcc_school.json, 2017-2026).",,391778af-fd7e-4e77-9998-08af8c645a4c
